"Dia-Mes","Temperatura media","Fecha Momento minima","Temperatura minima","Fecha Momento maxima","Temperatura maxima"
"1-Ene","17","1/1/2022","8.7","1/1/2019","29.3"
"2-Ene","17.1","2/1/2018","9.7","2/1/2005","30"
"3-Ene","17.2","3/1/1995","9.1","3/1/2023","30"
"4-Ene","17.2","4/1/1999","9.8","4/1/2022","28.1"
"5-Ene","17.3","5/1/1999","9","5/1/2002","29"
"6-Ene","17.2","6/1/1996","9.2","6/1/2018","29.7"
"7-Ene","17.2","7/1/2005","9.8","7/1/2024","28.5"
"8-Ene","18.2","8/1/2010","9.6","8/1/2006","31.5"
"9-Ene","17.9","9/1/2015","9.6","9/1/2005","29.4"
"10-Ene","17.6","10/1/1995","9","10/1/2020","30.5"
"11-Ene","17.9","11/1/2010","9","11/1/1998","30.4"
"12-Ene","17.4","12/1/2021","9.8","12/1/2003","30.4"
"13-Ene","17.4","13-01-2023","9.4","13-01-2017","31.2"
"14-Ene","17.2","14-01-2021","8.7","14-01-2024","31.5"
"15-Ene","17.8","15-01-1996","9.4","15-01-1995","30.2"
"16-Ene","17.4","16-01-2021","9.8","16-01-1998","32"
"17-Ene","17.6","17-01-1995","9.5","17-01-2017","31.7"
"18-Ene","17.4","18-01-2022","9.6","18-01-2024","29.6"
"19-Ene","17.2","19-01-2022","7.7","19-01-2000","30.2"
"20-Ene","17.6","20-01-2022","9.5","20-01-2010","31.8"
"21-Ene","17.2","21-01-2022","9.2","21-01-1995","30"
"22-Ene","17.4","22-01-2000","10.1","22-01-1995","30.8"
"23-Ene","17.7","23-01-1998","11",".","30.6"
"24-Ene","18.2","24-01-1996","9.2","24-01-2017","31.2"
"25-Ene","17.4","25-01-1995","9","25-01-2000","28"
"26-Ene","17.5","26-01-1995","9.8","26-01-2020","26.7"
"27-Ene","18","27-01-2021","9","27-01-2003","30.8"
"28-Ene","17.9","28-01-2015","10.8","28-01-2003","31"
"29-Ene","17.8","29-01-2001","10.6","29-01-2003","34.6"
"30-Ene","17.5","30-01-2002","9","30-01-2016","29.4"
"31-Ene","17.5","31-01-2005","8.9","31-01-2002","29.4"
"1-Feb","17.4","1/2/1999","9","1/2/2012","29"
"2-Feb","17.4","2/2/2009","8.7","2/2/2024","33.1"
"3-Feb","17.5","3/2/2010","9","3/2/2024","32.6"
"4-Feb","17.6","4/2/2004","8.6","4/2/1995","30.4"
"5-Feb","17.2","5/2/1996","9","5/2/2017","31"
"6-Feb","17.6","6/2/2020","9","6/2/2009","27.8"
"7-Feb","17.5","7/2/2009","8.3","7/2/2020","27.7"
"8-Feb","17.5","8/2/2001","6.2","8/2/2010","29.6"
"9-Feb","17.2","9/2/2017","9.4","9/2/2008","28.5"
"10-Feb","17.7","10/2/2011","10.4","10/2/2024","30.8"
"11-Feb","17.3","11/2/1995","10","11/2/2009","32"
"12-Feb","17.2","12/2/2010","10.2","12/2/2015","33.3"
"13-Feb","17.5","13-02-2009","10.2","13-02-2010","30"
"14-Feb","17.2","14-02-2004","11.2","14-02-2013","31.4"
"15-Feb","16.7","15-02-2007","10.2","15-02-2008","28"
"16-Feb","16.7","16-02-2007","8.2","16-02-2009","27.2"
"17-Feb","17","17-02-2007","9","17-02-2024","31.3"
"18-Feb","17.6","18-02-1995","9.6","18-02-2004","30.3"
"19-Feb","16.9","19-02-2013","8.7","19-02-2017","29.5"
"20-Feb","17.1","20-02-2003","7.4","20-02-2016","28.7"
"21-Feb","16.9","21-02-2022","9.4","21-02-2013","28.8"
"22-Feb","17.3","22-02-2021","9.7","22-02-1997","28.8"
"23-Feb","17.3","23-02-2010","9.2","23-02-2007","28.2"
"24-Feb","16.7","24-02-2014","9.4","24-02-2007","29.6"
"25-Feb","17.3","25-02-2003","9.8","25-02-2005","30.8"
"26-Feb","17.2","26-02-2016","8.2","26-02-2023","32.8"
"27-Feb","16.8","27-02-2014","8.8","27-02-2012","28.8"
"28-Feb","16.8","28-02-2019","9","28-02-2016","27.8"
"29-Feb","16.5","29-02-2000","9.9","29-02-2024","25"
"1-Mar","16.9","1/3/2013","8.1","1/3/2012","29.6"
"2-Mar","17.6","2/3/2000","9.4","2/3/2012","31.7"
"3-Mar","16.9","3/3/2007","7.8","3/3/2012","33"
"4-Mar","17.2","4/3/2014","8.8","4/3/2012","29.3"
"5-Mar","17.4","5/3/1995","9.1","5/3/2019","31.6"
"6-Mar","16.7","6/3/2013","8.6","6/3/2017","32"
"7-Mar","17.4","7/3/1999","8","7/3/2009","31.9"
"8-Mar","17.5","8/3/2022","8","8/3/2014","30.6"
"9-Mar","17.6","9/3/1995","9.9","9/3/2016","29.6"
"10-Mar","16.4","10/3/1995","8.9","10/3/2022","28.6"
"11-Mar","16.5","11/3/1996","9","11/3/2006","29.3"
"12-Mar","16.6","12/3/2014","8.7","12/3/2017","31.9"
"13-Mar","16.4","13-03-2013","9","13-03-2005","28.1"
"14-Mar","16.5","14-03-2013","6.6","14-03-2009","29.4"
"15-Mar","16.5","15-03-2014","7.6","15-03-2023","28.3"
"16-Mar","16.7","16-03-2019","7","16-03-1996","28"
"17-Mar","17.3","17-03-2013","9.5","17-03-2007","32.2"
"18-Mar","16.3","18-03-1999","8.3","18-03-2023","28.9"
"19-Mar","16.1","19-03-2014","8","19-03-2002","28.6"
"20-Mar","15.9","20-03-2019","7.5","20-03-2019","28.8"
"21-Mar","16.1","21-03-2019","7.2","21-03-2024","31"
"22-Mar","16.2","22-03-2009","7.3","22-03-2024","29.4"
"23-Mar","16.5","23-03-2000","7.2","23-03-2024","29.5"
"24-Mar","16.9","24-03-2021","8.6","24-03-1998","31.3"
"25-Mar","15.8","25-03-2011","8","25-03-2018","31.7"
"26-Mar","16","26-03-2019","6.7","26-03-2004","27.4"
"27-Mar","16","27-03-2022","8.1","27-03-2021","27.4"
"28-Mar","15.2","28-03-2014","7.4","28-03-2015","28.8"
"29-Mar","15.4","29-03-2006","7.2","29-03-2018","28.4"
"30-Mar","16.1","30-03-2019","7.4","30-03-2024","31"
"31-Mar","16.4","31-03-2003","7.2","31-03-2009","31.2"
"1-Abr","15.6","1/4/2022","8.4","1/4/1995","28.2"
"2-Abr","15.2","2/4/2005","7.2","2/4/1995","28"
"3-Abr","15.5","3/4/2014","7.3","3/4/2023","29"
"4-Abr","15.5","4/4/2005","7.4","4/4/2011","27.7"
"5-Abr","15.8","5/4/2014","7.3","5/4/2019","28.9"
"6-Abr","15.8","6/4/2022","6.5","6/4/2019","34"
"7-Abr","16.4","7/4/2005","7.8","7/4/2007","30.4"
"8-Abr","15.3","8/4/1999","7.6","8/4/2004","28.4"
"9-Abr","14.4","9/4/2023","7.2","9/4/1995","29.4"
"10-Abr","15.6","10/4/1999","6","10/4/1997","33.4"
"11-Abr","15.1","11/4/2024","6.4","11/4/1995","29.3"
"12-Abr","14.4","12/4/1999","6.8","12/4/2007","27.2"
"13-Abr","14.6","13-04-2018","7","13-04-2014","31.9"
"14-Abr","14.8","14-04-2018","6.8","14-04-2014","27"
"15-Abr","14.2","15-04-2006","6.5","15-04-2019","28.2"
"16-Abr","14.7","16-04-2008","6.4","16-04-1999","30"
"17-Abr","15.5","17-04-2022","7.3","17-04-2024","30.4"
"18-Abr","14.9","18-04-2006","5.3","18-04-2009","28.8"
"19-Abr","15.2","19-04-2002","6.3","19-04-2023","29.5"
"20-Abr","14.8","20-04-1999","7.8","20-04-2009","27.8"
"21-Abr","14.5","21-04-2005","7.2","21-04-2009","29.2"
"22-Abr","14.3","22-04-1996","6","22-04-2006","28.2"
